序号	作物	成果名称	审定或鉴定单位	编号	时间	完成人	选育单位
转Bt汕优63	农业部：国家农业转基因生物安全证书	
2009	张启发等	华中农业大学
94	
华杂62	国家农作物品种审定委员会	
2010	傅廷栋、涂金星、马朝芝、沈金雄、李新华、易斌、文静	华中农业大学

湖北省品审委员会	
2009	华中农业大学
93	
华豫油640	河南省品审委员会	
2009	马朝芝、傅廷栋、涂金星、沈金雄	华中农业大学
92	
中农油2008	湖北品种审定委员会	
2009	杨光圣	华中农业大学
91	
华杂棉H318	国家品种审定委员会	
2009	聂以春、张献龙	华中农业大学
90	
华杂棉4号	江西省品种审定委员会	
2009	聂以春、张献龙	华中农业大学
89	
优质抗倒伏抗白叶枯病杂交中稻“培两优1108”	湖北省重大科学技术成果	
2009	李春海、张启发、牟同敏、卢开阳	华中农业大学
88	
杂交中稻新组合华两优1206	湖北省重大科学技术成果	
2009	牟同敏、李春海、张启发、金俊新	华中农业大学
87	
伦晚脐橙	湖北省农作物品种审定委员会	
2009	伊华林、邓秀新、夏仁学	华中农业大学
86	
华玉9号	湖北省农作物品种审定委员会	
2009	刘永忠	华中农业大学
85	
华番二号	湖南省农作物品种审定委员会	
2009	叶志彪、李汉霞、张俊红、王涛涛、张余洋	华中农业大学
84	
华番三号	湖南省农作物品种审定委员会	
2009	叶志彪、李汉霞、张俊红、王涛涛、张余洋	华中农业大学
83	
华油杂9号	湖南省农作物品种审定委员会	
2008	杨光圣、傅廷栋、何庆彪	华中农业大学

重庆品种审定委员会	
2009	杨光圣、傅廷栋、何庆彪	华中农业大学

贵州品种审定委员会	
2009	杨光圣、傅廷栋、何庆彪	华中农业大学
82	
华协429	河南省农作物品种审定委员会	
2008	傅廷栋、涂金星、马朝芝、沈金雄、易斌、文静、李新华	华中农业大学
81	
华协327	安徽省农作物品种审定委员会	
2008	傅廷栋、涂金星、马朝芝、沈金雄易斌、文静、李新华	华中农业大学
80	
华玉04-7	湖北省农作物品种审定委员会	
2008	刘永忠、徐尚忠、马克军、邱法展、王燕	华中农业大学
79	
堰玉18	湖北省农作物品种审定委员会	
2008	刘永忠、吴承国等	华中农业大学
78	
华甜玉4号	湖北省农作物品种审定委员会	
2008	邱法展、王燕、徐尚忠、马克军、刘永忠	华中农业大学
77	
华油杂16号	河南省农作物品种审定委员会	
2007	杨光圣，洪登峰，刘平武	华中农业大学

江西品种审定委员会	
2009	杨光圣，洪登峰，刘平武	华中农业大学

湖南品种审定委员会	
2009	杨光圣，洪登峰，刘平武	华中农业大学
76	
天油杂2号（源油杂2号）	江西省农作物品种审定委员会	
2007	杨光圣，刘平武，洪登峰	华中农业大学

（重庆市农作物品种审定委员会）	
2007	华中农业大学

四川品种审定委员会	
2009	杨光圣，刘平武，洪登峰	华中农业大学
75	
培两优1108	湖北省农作物品种审定委员会	
2007	李春海、牟同敏、张启发	华中农业大学
74	
华油杂13号	国家品种审定委员会（长江中游）	
2007	杨光圣，刘平武，洪登峰，何庆彪	华中农业大学

全国农作物品种审定委员会（长江上游）	
2005	杨光圣、傅廷栋、何庆彪\刘平武、瞿波、魏泽兰	华中农业大学
73	
圣光302	国家品种审定委员会	
2007	杨光圣，刘平武，洪登峰，何庆彪	华中农业大学
72	
广源58	国家品种审定委员会（长江中游）	
2007	杨光圣，刘平武，洪登峰，何庆彪	华中农业大学

国家品种审定委员会（长江上游）	
2009	杨光圣，刘平武，洪登峰，何庆彪	华中农业大学
71	
华皖油5号	安徽省品种审定委员会	
2007	杨光圣，俞斌，何庆彪	华中农业大学
70	
华皖油6号（华锦102）	安徽省品种审定委员会	
2007	杨光圣，刘平武，何庆彪	华中农业大学
69	
华协102	安徽省农作物品种审定委员会	
2007	傅廷栋，涂金星，马朝芝	华中农业大学
68	
饲油1号	甘肃省农作物品种审定委员会	
2007	傅廷栋，涂金星，马朝芝	华中农业大学
67	
华两优1206	国家农作物品种审定委员会	
2007	牟同敏、李春海、张启发、金俊新	华中农业大学

湖北省农作物品种审定委员会	
2005	华中农业大学
66	
华赣油2号	江西省农作物品种审定委员会	
2006	涂金星、傅廷栋、马朝芝、李兴华	华中农业大学
65	
华玉6号	湖北省农作物品种审定委员会	
2006	徐尚忠、马克军、熊秀珠、刘纪麟、方传兴	华中农业大学
64	
鄂玉25号	国家农作物品种审定委员会	
2006	刘永忠、徐尚忠、吴承国等	华中农业大学
63	
华103S	湖北省农作物品种审定委员会	
2006	牟同敏、李春海、金俊新、张启发	华中农业大学
62	
华油杂15号	湖北省农作物品种审定委员会	
2006	杨光圣、刘平武、洪登峰、何庆彪、瞿波、魏泽兰	华中农业大学
61	
华油杂12号	全国农作物品种审定委员会（长江上游）	
2006	杨光圣、傅廷栋、何庆彪、刘平武、瞿波、魏泽兰	华中农业大学

湖北省农作物品种审定委员会	
2005	杨光圣、傅廷栋、何庆彪、刘平武、瞿波、魏泽兰	华中农业大学

全国农作物品种审定委员会（长江中游）	
2005	杨光圣、傅廷栋、何庆彪、刘平武、瞿波、魏泽兰	华中农业大学
60	
亚华油10号	全国农作物品种审定委员会	
2006	杨光圣、刘平武、洪登峰、何庆彪、瞿波、魏泽兰	华中农业大学
59	
芥菜型油菜细胞质雄性不育系6-102A的发现、研究与利用	湖北省科技厅	
2006	傅廷栋等	华中农业大学
58	
纽荷尔脐橙	湖北省农作物品种审定委员会	
2005	钟家菊、伊华林、文中华、李述举、孙社先、王明先、彭东林	华中农业大学
57	
鄂玉16号	全国农作物品种审定委员会	
2005	刘永忠、徐尚忠、谭建国、吴承国、马克军、田纯晶、何邦兴、郭元平	华中农业大学
56	
华玉5号	湖北省农作物品种审定委员会	
2005	徐尚忠 马克军 熊秀珠 刘纪麟 方传兴	华中农业大学
55	
鄂玉24号	湖北省农作物品种审定委员会	
2005	徐尚忠、刘永忠、李远春、马克军、吴承国、刘纪麟、方传兴、宋先信、熊秀珠	华中农业大学

贵州省农作物品种审定委员会	
2004	华中农业大学
54	
华柑2号	湖北省农作物品种审定委员会	
2005	李长藻、覃伟、伊华林、邓秀新、田大甲、杨明寿、孟远胜、王怀炳、覃 红	华中农业大学
53	
奉节晚橙	重庆市农作物品种审定委员会	
2005	邓秀新等（第二完成人，第二完成单位）	华中农业大学
52	
鄂甜橙1号	湖北省农作物品种审定委员会	
2005	钟家菊、邓秀新、文中华、伊华林、李述举、孙社先、王明先、彭东林	华中农业大学
51	
华杂棉1号F1	湖北省农作物品种审定委员会	
2005	张献龙、聂以春、郭小平	华中农业大学
50	
华杂棉2号F2	河南省农作物品种审定委员会	
2005	张献龙、郭小平、聂以春	华中农业大学
49	
华两优105	江西省农作物品种审定委员会	
2005	牟同敏、李春海、张启发、金俊新	华中农业大学
48	
华201S	湖北省农作物品种审定委员会	
2005	牟同敏、李春海、张启发、金俊新	华中农业大学
47	
华油杂10号	全国农作物品种审定委员会（长江中游）	
2005	杨光圣、傅廷栋、何庆彪	华中农业大学

全国农作物品种审定委员会（长江上游）	
2004	杨光圣、傅廷栋、何庆彪	华中农业大学
46	
华油杂14号	全国农作物品种审定委员会	
2005	杨光圣，傅廷栋，何庆彪、刘平武，瞿波，魏泽兰	华中农业大学
45	
华油杂3531	全国农作物品种审定委员会	
2005	杨光圣，傅廷栋，何庆彪	华中农业大学


2005	刘平武，瞿波，魏泽兰	华中农业大学
44	
华赣油1号	江西省农作物品种审定委员会	
2005	杨光圣，傅廷栋，何庆彪、刘平武，瞿波，魏泽兰	华中农业大学
43	
鄂柑2号	湖北省农作物品种审定委员会	
2004	冉德森、杨承清、伊华林、孔祥亭、邓秀新、杨晓斌、潘 洪	华中农业大学
42	
华两优103	湖北省农作物品种审定委员会	
2004	牟同敏、李春海、张启发、金俊新	华中农业大学
41	
华两优106	江西省农作物品种审定委员会	
2004	牟同敏、李春海、张启发、金俊新	华中农业大学
40	
华早糯1003	湖北省农作物品种审定委员会	
2004	李春海、牟同敏、陈昉源、金俊新	华中农业大学
39	
华M102S	湖北省农作物品种审定委员会	
2004	牟同敏、李春海	华中农业大学
38	
华浙油1号	浙江省农作物品种审定委员会	
2004	杨光圣、傅廷栋、何庆彪	华中农业大学
37	
华皖油4号	安徽省农作物品种审定委员会	
2004	杨光圣、傅廷栋、何庆彪	华中农业大学

全国农作物品种审定委员会	
2005	杨光圣、傅廷栋、何庆彪	华中农业大学
36	
华双5号	全国农作物品种审定委员会	
2004	吴江生、石淑稳	华中农业大学
35	
华油杂11号	全国农作物品种审定委员会	
2004	杨光圣、傅廷栋、何庆彪	华中农业大学
34	
华油杂7号	全国农作物品种审定委员会	
2003	傅廷栋等	华中农业大学
33	
华双4号	全国农作物品种审定委员会	
2003	吴江生、石淑稳	华中农业大学
32	
华皖油3号（H99-28）	安徽省农作物品种审定委员会	
2003	傅廷栋、杨光圣、涂金星	华中农业大学
31	
新油15号	新疆农作物品种审定委员会	
2003	杨光圣、傅廷栋、何庆彪	华中农业大学
30	
新油16号	新疆农作物品种审定委员会	
2004	傅廷栋、涂金星、马朝芝、杨光圣、李兴华等	华中农业大学
29	
李86-7	湖北省科学技术厅	
2003	李国怀、邓秀新、夏仁学、蔡礼鸿	华中农业大学
28	
华甜玉1号	全国农作物新品种审定	
2003	徐尚忠、李建生等	华中农业大学
27	
海湾红宝石	湖北省科学技术厅	
2003	李国怀、邓秀新、夏仁学、蔡礼鸿	华中农业大学
26	
华油杂9号	湖南省农作物品种审定委员会	
2008	杨光圣、傅廷栋、何庆彪	华中农业大学

全国农作物品种审定委员会	
2004	杨光圣、傅廷栋、何庆彪	华中农业大学

湖北省农作物品种审定委员会	
2003	杨光圣、傅廷栋、何庆彪	华中农业大学
25	
华油杂8号	全国农作物品种审定委员会	
2004	杨光圣、傅廷栋、何庆彪	华中农业大学

湖北省农作物品种审定委员会	
2003	杨光圣、傅廷栋、何庆彪	华中农业大学
24	
华油杂6号（华皖油2号）	四川省农作物品种审定委员会	
2010	杨光圣、傅廷栋、何庆彪	华中农业大学

河南省农作物品种审定委员会	
2004	杨光圣、傅廷栋、何庆彪	华中农业大学

全国农作物品种审定委员会	
2003	杨光圣、傅廷栋、何庆彪	华中农业大学

湖南省农作物品种审定委员会	
2003	杨光圣、傅廷栋、何庆彪	华中农业大学

安徽省农作物品种审定委员会	
2002	杨光圣、傅廷栋、何庆彪	华中农业大学

湖北省农作物品种审定委员会	
2002	杨光圣、傅廷栋、何庆彪	华中农业大学
23	
华油杂5号（华皖油1号、改良华杂4号）	安徽省农作物品种审定委员会	
2002	杨光圣、傅廷栋、何庆彪	华中农业大学

河南省农作物品种审定委员会	
2004	杨光圣、傅廷栋、何庆彪	华中农业大学

湖北省农作物品种审定委员会	
2002	杨光圣、傅廷栋、何庆彪	华中农业大学
22	
华油（杂）4号	全国农作物品种审定委员会	
2001	傅廷栋、杨光圣、马朝芝、杨小牛、吴江生、甘莉	华中农业大学

安徽省农作物品种审定委员会	
2000	傅廷栋、杨光圣、马朝芝、杨小牛、吴江生、甘莉	华中农业大学

河南省农作物品种审定委员会	
1999	傅廷栋、杨光圣、马朝芝、杨小牛、吴江生、甘莉	华中农业大学

湖北省农作物品种审定委员会	
1998	傅廷栋、杨光圣、马朝芝、杨小牛、吴江生、甘莉	华中农业大学
21	
华协1号	全国农作物品种审定委员会	
2001	傅廷栋、Bo.GGertsson,杨光圣、涂金星、马朝芝、李新华	华中农业大学

新疆维吾尔族自治区农作物品种审定委员会	
2000	傅廷栋、Bo.GGertsson,杨光圣、涂金星、马朝芝、李新华	华中农业大学

甘肃省农作物品种审定委员会	
1999	傅廷栋、Bo.GGertsson,杨光圣、涂金星、马朝芝、李新华	华中农业大学
20	
HB柚	湖北省农作物品种审定委员会	
2001	邓秀新、夏仁学、伊华林、李国怀、刘继红、孙中海、马湘涛、胡世全	华中农业大学
19	
红肉脐橙(华脐橙2号)	湖北省农作物品种审定委员会	
2001	邓秀新、伊华林、夏仁学、郭文武、李国怀、孙中海、谭勇、付先松	华中农业大学
18	
通过疣粒野生稻和栽培稻的细胞融合创造的抗白叶枯病新种质的研究	农业部科技教育司	
2000	陈葆棠、朱永生、余舜武、秦发兰、余毓君、张端品	华中农业大学
17	
植物细胞抗衰老剂（PG）	国家知识产权局	
2000	陈葆棠、谢岳峰、张端品、余毓君	华中农业大学
16	
麦后复种饲用油菜研究	甘肃省科技厅	
2000	傅廷栋、涂金星、杨光圣、马朝芝、李新华	华中农业大学
15	
柑桔异源四倍体创造及其在生产柚瘪籽果实中的应用	国家自然科学基金委员会	
2000	邓秀新、郭文武、伊华林、刘继红、夏仁学、胡春根、孙中海、马湘涛	华中农业大学
14	
转Bt基因抗虫籼稻明恢63的培育	农业部科技教育司	
1999	涂巨民、张启发、范云六、张春义、徐才国等	华中农业大学
13	
应用分子标记辅助选择培育广谱、高抗白叶枯病的杂交稻恢复系	农业部科技教育司	
1999	张启发、陈 升、徐才国、林兴华、何予卿	华中农业大学
12	
应用叶片衰老抑制基因培育水稻新材料以提高水稻产量潜力	农业部科技教育司	
1999	张启发、曹孟良、林拥军、徐才国、何予卿	华中农业大学
11	
特种稻米品质性状的评价体系及其遗传效应的研究	广东省科学技术委员会	
1999	张名位、彭仲明、赖来展、孙 玲、杜应琼、涂巨民、李宝健、江周林、池建伟、余四斌、王志坚、张孝祺、陈俊秋、曹 静、徐志宏	华中农业大学
10	
玉米杂交组合＂华玉4号＂	全国农作物品种审定委员会	
1999	徐尚忠、李建生、石永刚、熊秀珠、刘纪麟、涂光曙	华中农业大学

湖北省农作物品种审定委员会	
1998	华中农业大学
9	
超甜玉米“华甜玉1号”（商品名 金银99）	湖北省农作物品种审定委员会	
1999	李建生、徐尚忠、熊秀珠、刘勋甲、马克军、刘纪麟	华中农业大学
8	
《光敏感核不育水稻育性转换机理与应用研究》	华中农业大学（函审）	
1998	李泽炳、金忠恒、卢兴桂、朱英国、曾 素、张自国、肖翊华、靳德明、张端品、万经猛、汪发启、吴志敏、张似松	华中农业大学
7	
甘蓝型双低油菜新品种＂华油（双）3号＂	湖北省农作物品种审定委员会	
1998	吴江生、石淑稳、周永明、梅祖恩、伍昌胜、涂勇	华中农业大学
6	
转基因耐贮藏番茄＂华番1号＂	湖北省农作物品种审定委员会	
1998	叶志彪、李汉霞、刘勋甲、向长萍、郑世发	华中农业大学
5	
抗虫棉花新品种-华棉101选育	农业部科技司	
1992	张金发等	华中农业大学
4	
温州蜜桔提早着色及增进品质与增质剂的研究	湖北省农牧厅	
1992	章文才等	华中农业大学
3	
日光型植物生长箱研制	湖北省科学技术委员会	
1994	张自国、张端品等	华中农业大学
2	
甘蓝杂种一代华甘1号、华甘2号的选育	湖北省农牧厅	
1994	叶志彪等	华中农业大学
1	
甘蓝型优质油菜新品种华油双1号选育	湖北省农牧厅	
1994	刘后利、吴江生等	华中农业大学
