序号	作物	成果名称	审定或鉴定单位	编号	时间	完成人	选育单位
249	油菜	圣缘2号	中华人民共和国农业农村部	GPD油菜（2021）420251	2021.08.24	杨光圣等	华中农业大学、武汉联农种业科技有限责任公司
248	油菜	圣灯2号	中华人民共和国农业农村部	GPD油菜（2021）420250	2021.08.24	杨光圣等	华中农业大学、武汉联农种业科技有限责任公司
247	油菜	华油2018	全国农业技术推广服务中心	GDP油菜（2021）420234	2021.8.24	周永明，范楚川	华中农业大学
246	棉花	GB826	河南省主要农作物品种审定委员会	豫审棉20210002	2021.7.5	于霁雯、林忠旭、裴文锋、吴嫚、张兵兵、张献龙	中国农业科学院棉花研究所、华中农业大学
245	棉花	华棉1108	湖北省农作物品种审定委员会	鄂审棉20210002	2021.7.6	张献龙、聂以春	华中农业大学
244	棉花	华棉1543	湖北省农作物品种审定委员会	赣审棉20210003	2021.3.18	郭小平、张献龙	华中农业大学
243	玉米	华青贮3号	湖北省农作物品种审定委员会	鄂审玉20210018	2021	杜雷、刘永忠、徐尚忠、马克军、余长平、辛旺森、张豪	华中农业大学
242	玉米	华青贮4号	湖北省农作物品种审定委员会	鄂审玉20210019	2021	刘永忠、徐尚忠、马克军、杜雷、余长平、辛旺森、张豪等	华中农业大学
241	玉米	郧单25	湖北省农作物品种审定委员会	鄂审玉20210012	2021	余长平、刘永忠等	十堰市农业科学院，华中农业大学
240	玉米	敦玉810	云南省农作物品种审定委员会	滇审玉2021091	2021	刘永忠、刘国华、李世凤、吕祥、杜雷、余长平、葸阳、辛旺森、张豪	华中农业大学、甘肃省敦煌种业集团股份有限公司研究院
239	玉米	腾龙1838	湖北省农作物品种审定委员会	鄂审玉20216010	2021	腾峰、刘永忠、董家利、马克军、黄克斌、杜雷、纪洋、辛旺森	湖北腾龙种业有限公司，华中农业大学

水稻	转cry1Ab/cry1Ac基因抗虫水稻华恢1号在湖北省生产应用的安全证书	中国人民共和国农业农村部	农基安证字（2021）第002号	2021	
华中农业大学

水稻	转cry1Ab/cry1Ac基因抗虫水稻Bt汕优63在湖北省生产应用的安全证书	中国人民共和国农业农村部	农基安证字（2021）第001号	2021	
华中农业大学
238	水稻	华两优2834	国家农作物品种审定委员会	国审稻20200183	2020-11-26	牟同敏、李春海、米甲明、熊立仲、孙焱、陈云	华中农业大学
237	水稻	华两优6570	国家农作物品种审定委员会	国审稻20206224	2020-11-26	龙和平、牟同敏、周飞捷、张晓	袁隆平农业高科技股份有限公司、华中农业大学、湖南隆平种业有限公司、湖南民升种业科学研究院有限公司
236	水稻	华1006S	湖北省农作物品种审定委员会	鄂审稻20200084	2020-09-23	牟同敏 姜洁锋 杨大兵 米甲明 李春海   孙  焱 陈云	华中农业大学
235	水稻	华1037S	湖北省农作物品种审定委员会	鄂审稻20200085	2020-09-23	牟同敏 姜洁锋 杨大兵 米甲明 李春海 孙焱 陈云	华中农业大学
234	水稻	华两优3734	湖北省农作物品种审定委员会	鄂审稻20200004	2020-09-23	牟同敏、李春海、米甲明、熊立仲、陈云、孙焱	华中农业大学
233	水稻	华两优2882	湖北省农作物品种审定委员会	鄂审稻20200048	2020-09-23	牟同敏、孙华卫、李春海、杨险峰、赵军	武汉弘耕种业有限公司、华中农业大学
232	水稻	华两优2817	湖北省农作物品种审定委员会	鄂审稻20200003	2020-09-23	米甲明、牟同敏、李春海、陈云、孙焱	华中农业大学
231	水稻	华两优2869	湖北省农作物品种审定委员会	鄂审稻20200008	2020-09-23	刘长兵、牟同敏、彭裕超、李春海、谢春甫、钮勇刚、聂文龙、刘华曙、郑明、王文、李拥军  余凯军	孝感市农业科学院、华中农业大学
230	油菜	圣光128E	农业农村部	GPD油菜（2020）420089	2020	杨光圣=董发明，洪登峰，辛强，万丽丽，徐义，康雷	华中农业大学，   武汉联农种业科技有限责任公司
229	油菜	圣光86E	农业农村部	GPD油菜(2020)420091	2020	杨光圣=董发明，洪登峰，辛强，万丽丽，徐义，杨静，康雷	华中农业大学，   武汉联农种业科技有限责任公司
228	油菜	华油杂655R	农业农村部	GPD油菜(2020)420090	2020	杨光圣，万丽丽，徐义，董发明，洪登峰，杨静	华中农业大学，   武汉联农种业科技有限责任公司
227	油菜	圣光136E	农业农村部	GPD油菜(2020)420092	2020	董发明=杨光圣，洪登峰，辛强，万丽丽，徐义，杨静，康雷	华中农业大学，   武汉联农种业科技有限责任公司
226	油菜	圣光168	农业农村部	GPD油菜(2019)420111	2020	杨光圣，洪登峰，董发明，万丽丽，徐义，杨静	华中农业大学，   武汉联农种业科技有限责任公司
225	油菜	圣光50	农业农村部	GPD油菜(2019)420197	2020	杨光圣，洪登峰，董发明，万丽丽，徐义，杨静	华中农业大学，   武汉联农种业科技有限责任公司
224	油菜	华油杂160R	农业农村部	GPD油菜(2019)420214	2020	杨光圣，徐义，万丽丽，洪登峰，董发明，杨静	华中农业大学，   武汉联农种业科技有限责任公司
223	油菜	圣光165R	农业农村部	GPD油菜(2019)420213	2020	杨光圣，徐义，洪登峰，董发明，万丽丽，杨静	华中农业大学，   武汉联农种业科技有限责任公司
222	棉花	华棉2270	江西省农作物品种审定委员会	赣审棉20200007	2020-05-20	郭小平 张献龙	华中农业大学
221	棉花	华杂棉H834	江西省农作物品种审定委员会	赣审棉20200003	2020-05-20	郭小平 张献龙	华中农业大学
220	棉花	华杂棉H116	农业部国家农作物品种审定委员会	国审棉20200006	2020-11-26	郭小平 张献龙	华中农业大学
219	棉花	华棉8119	通过湖北省农作物品种审定委员会	鄂审棉20200004	2020-09-23	张献龙 聂以春	华中农业大学
218	玉米	翔玉16	湖北省农作物品种审定委员会	鄂审玉2020016	2020-9-23	刘永忠等	第一
217	玉米	翔玉18	湖北省农作物品种审定委员会	鄂审玉2020017	2020-9-23	刘永忠等	第一
216	玉米	华玉21	湖北省农作物品种审定委员会	鄂审玉2020006	2020-9-23	马克军、刘永忠等	第一
215	玉米	华青贮1号	湖北省农作物品种审定委员会	鄂审玉2020025	2020-9-23	杜雷、刘永忠等	第一
214	玉米	华青贮2号	湖北省农作物品种审定委员会	鄂审玉2020026	2020-9-23	杜雷、刘永忠等	第一
213	玉米	国豪玉181	国家农作物品种审定委员会	国审玉20206253	2020-11-26	刘永忠等	第二
212	玉米	恩惠单1号	湖北省农作物品种审定委员会	鄂审玉2020012	2020-9-23	杨秀乾、刘永忠等	第二
211	玉米	恩裕单1号	湖北省农作物品种审定委员会	鄂审玉2020022	2020-9-23	刘好梁、刘永忠等	第二
210	玉米	恩单519	湖北省农作物品种审定委员会	鄂审玉2020014	2020-9-23	刘传兵、刘永忠等	第二
209	玉米	郧单23	湖北省农作物品种审定委员会	鄂审玉2020020	2020-9-23	余长平、刘永忠等	第二
208	玉米	地生99	四川省农作物品种审定委员会	川审玉2020004	2020-11-03	白怡、刘永忠等	第二
207	玉米	敦玉735	国家农作物品种审定委员会	国审玉20200020	2020-11-26	刘永忠等	第三
206	玉米	华甜玉7号	甘肃省农作物品种审定委员会	甘审玉20200100	2020-03-04	邱法展等	华中农业大学
205	油菜	饲12P38	全国农业技术推广服务中心	GPD油菜(2020)230186	2020	傅廷栋	华中农业大学
204	油菜	华油杂82	全国农业技术推广服务中心	GPD油菜(2020)420104	2020	沈金雄	华中农业大学
203	油菜	金油杂8号	全国农业技术推广服务中心	GPD油菜(2020)420105	2020	沈金雄	华中农业大学
202	油菜	华油杂86	全国农业技术推广服务中心	GPD油菜(2020)420266	2020	沈金雄	华中农业大学
201	油菜	华油杂706	全国农业技术推广服务中心	GPD油菜(2020)420189	2020	涂金星	华中农业大学
200	油菜	华油杂709	全国农业技术推广服务中心	GPD油菜(2020)420188	2020	涂金星	华中农业大学
199	油菜	华油杂652	全国农业技术推广服务中心	GPD油菜（2019）420207	2020	马朝芝，易斌，文静，戴成	华中农业大学
198	油菜	华油杂901	全国农业技术推广服务中心	GPD油菜（2019）420206	2020	马朝芝	华中农业大学
197	油菜	华油杂158	全国农业技术推广服务中心	GPD油菜(2020)420029	2020	沈金雄	华中农业大学
196	油菜	华油杂651	全国农业技术推广服务中心	GPD油菜（2020）420307	2020	马朝芝，戴成，易斌，文静	华中农业大学
195	油菜	华油杂644	全国农业技术推广服务中心	GPD油菜（2020）420306	2020	马朝芝，戴成，易斌，文静	华中农业大学
194	油菜	渝华2号	中国人民共和国农业农村部	GPD油菜（2020）500315	2020.12.31	马朝芝	重庆三峡农业科学院、华中农业大学
193	棉花	华棉9153	湖北省农作物品种审定委员会	鄂审棉2019003号	20190505	张献龙，聂以春，涂礼莉，朱龙付	华中农业大学
192	棉花	华棉1126	湖北省农作物品种审定委员会	鄂审棉2019002号	20190808	张献龙，聂以春，涂礼莉，朱龙付	华中农业大学
191	棉花	华杂棉H329	湖北省农作物品种审定委员会	赣审棉20190003号	20190808	张献龙，聂以春	华中农业大学
